user_id,age,annual_income,country,duolingo_platform,duolingo_subscriber,duolingo_usage,employment_status,future_contact,gender,other_resources,primary_language_commitment,primary_language_review,primary_language_motivation,primary_language_motivation_followup,primary_language_proficiency,student,survey_complete,time_spent_seconds,duolingo_start_date,highest_course_progress,took_placement_test,purchased_subscription,highest_crown_count,n_active_days,n_lessons_started,n_lessons_completed,longest_streak,n_days_on_platform
35c9fc6e72c911e99681dca9049399ef,18-34,"$26,000 - $75,000",JP,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Employed full-time,TRUE,Male,2,I'm very committed to learning this language.,I am using Duolingo to review a language I've studied before.,I like to learn new languages,"I want to learn as many languages as I can,Other (please specify)",Advanced,Not currently a student,TRUE,193,2016-07-08T05:45:00Z,58,TRUE,FALSE,275,91,232,232,589,849
35c9fdde72c911e98630dca9049399ef,18-34,"$26,000 - $75,000",JP,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed full-time,TRUE,Male,0,I'm slightly committed to learning this language.,I am using Duolingo to review a language I've studied before.,I need to be able to speak the local language where I live,"I am an immigrant,I am a refugee",Intermediate,Not currently a student,TRUE,139,2018-07-02T16:42:00Z,4,TRUE,FALSE,22,54,90,88,27,125
35c9feb072c911e9ab4cdca9049399ef,18-34,"$76,000 - $150,000",JP,iPhone or iPad,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,TRUE,Male,0,I'm moderately committed to learning this language.,I am using Duolingo to review a language I've studied before.,I want to connect with my heritage or identity,,Beginner,Not currently a student,TRUE,119,2017-07-13T15:47:00Z,11,FALSE,TRUE,17,30,49,47,30,479
35c9ff7072c911e9900ddca9049399ef,18-34,"$76,000 - $150,000",JP,iPhone or iPad,"No, but I have previously paid for Duolingo Plus",Daily,Employed full-time,TRUE,Female,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I am preparing for a trip,"I want to learn some basics in the local language,I have an upcoming trip",Intermediate,Not currently a student,TRUE,229,2018-07-10T23:19:00Z,11,FALSE,TRUE,55,93,1161,1028,40,117
35ca002672c911e99effdca9049399ef,35 - 54,"$76,000 - $150,000",JP,Android phone or tablet,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,TRUE,Male,0,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to connect with my heritage or identity,,Intermediate,Not currently a student,TRUE,157,2013-07-02T01:02:00Z,64,FALSE,TRUE,417,85,215,252,266,1951
35ca00d772c911e992e8dca9049399ef,18-34,"$26,000 - $75,000",JP,iPhone or iPad,"No, I have never paid for Duolingo Plus",Weekly,Employed part-time,TRUE,Male,1,I'm moderately committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to use my time more productively,I want to spend less time playing games,Intermediate,Part-time student,TRUE,234,2017-11-13T17:43:00Z,10,FALSE,FALSE,19,9,20,8,2,356
35ca018c72c911e9a63cdca9049399ef,Under 18,"$0 - $10,000",JP,Android phone or tablet,"No, I have never paid for Duolingo Plus",Daily,Unemployed,TRUE,Female,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want to challenge myself,,Beginner,Full-time student,TRUE,365,2018-10-05T19:09:00Z,4,FALSE,FALSE,19,27,137,131,26,30
35ca023572c911e99fa5dca9049399ef,18-34,"$26,000 - $75,000",JP,Android phone or tablet,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,TRUE,Female,1,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want my family to learn a language together,,Beginner,Not currently a student,TRUE,182,2018-10-16T22:05:00Z,7,FALSE,TRUE,28,20,181,179,20,19
35ca02de72c911e9a3bfdca9049399ef,18-34,"$76,000 - $150,000",JP,Web browser,"Yes, I currently pay for Duolingo Plus",Daily,Employed full-time,FALSE,Male,0,I'm extremely committed to learning this language.,I am using Duolingo to review a language I've studied before.,I like to learn new languages,"It's been a lifelong goal to learn this language,I want to learn as many languages as I can,Language learning is a hobby,Other (please specify)",Advanced,Not currently a student,TRUE,197,2016-09-23T22:00:00Z,64,TRUE,TRUE,454,93,262,246,697,772
35ca038a72c911e9bc47dca9049399ef,35 - 54,No Response,JP,iPhone or iPad,"No, I have never paid for Duolingo Plus",Monthly,Employed full-time,FALSE,Female,2,I'm very committed to learning this language.,I am using Duolingo to learn this language for the first time.,I want my family to learn a language together,,Intermediate,Not currently a student,TRUE,173,2016-03-12T23:28:00Z,57,FALSE,FALSE,210,35,77,69,14,967
